ORCID,DBLP
0000-0001-8292-9232,https://dblp.org/pid/129/2047.html
0000-0001-8297-6792,https://dblp.org/pid/160/8334.html
0000-0001-8320-222X,https://dblp.org/pid/25/3297.html
0000-0001-8328-6662,https://dblp.org/pid/15/622.html
0000-0001-8329-0522,https://dblp.org/pid/06/616.html
0000-0001-8331-1645,https://dblp.org/pid/61/5974.html
0000-0001-8335-0652,https://dblp.org/pid/85/4986.html
0000-0001-8338-4852,https://dblp.org/pid/36/3798.html
0000-0001-8353-7388,https://dblp.org/pid/g/TomGross.html
0000-0001-8354-2195,https://dblp.org/pid/51/6825.html
0000-0001-8354-2320,https://dblp.org/pid/171/6029.html
0000-0001-8355-6909,https://dblp.org/pid/05/6915.html
0000-0001-8357-0727,https://dblp.org/pid/67/1227.html
0000-0001-8358-4264,https://dblp.org/pid/46/1633.html
